,event,site,date_played,white,black,result,white_elo,black_elo,winner,loser
18,Caribbean op,Port of Spain,1999-01-12,"Nakamura, Hikaru","Denny, Kevin",1/2-1/2,,2260.0,draw,draw
19,Caribbean op,Port of Spain,1999-01-13,"Alvarez, Johan","Nakamura, Hikaru",1-0,2200.0,,"Alvarez, Johan","Nakamura, Hikaru"
20,Caribbean op,Port of Spain,1999-01-13,"Nakamura, Hikaru","Barker, Michael",1-0,,,"Nakamura, Hikaru","Barker, Michael"
21,Caribbean op,Port of Spain,1999-01-14,"Sedgwick, David","Nakamura, Hikaru",0-1,2095.0,,"Nakamura, Hikaru","Sedgwick, David"
22,Caribbean op,Port of Spain,1999-01-15,"Nakamura, Hikaru","Resende, Antonio Carlos",1/2-1/2,,2365.0,draw,draw
23,World op,Philadelphia,1999-06-28,"Amador, Sergio Jose","Nakamura, Hikaru",0-1,2280.0,,"Nakamura, Hikaru","Amador, Sergio Jose"
24,World op,Philadelphia,1999-06-30,"David, Alberto","Nakamura, Hikaru",1-0,2530.0,,"David, Alberto","Nakamura, Hikaru"
25,Financial Concept Open 6th,North Bay,1999-08-04,"Nakamura, Hikaru","Paschall, William M",1/2-1/2,2204.0,2332.0,draw,draw
26,Financial Concept Open 6th,North Bay,1999-08-05,"Hebert, Jean","Nakamura, Hikaru",1-0,2454.0,2204.0,"Hebert, Jean","Nakamura, Hikaru"
27,Financial Concept Open 6th,North Bay,1999-08-05,"Nakamura, Hikaru","Rajlich, Vasik G",1-0,2204.0,2297.0,"Nakamura, Hikaru","Rajlich, Vasik G"
28,Financial Concept Open 6th,North Bay,1999-08-06,"Taylor, Gordon","Nakamura, Hikaru",1-0,2301.0,2204.0,"Taylor, Gordon","Nakamura, Hikaru"
29,Financial Concept Open 6th,North Bay,1999-08-06,"Nakamura, Hikaru","Baragar, Fletcher",0-1,2204.0,2305.0,"Baragar, Fletcher","Nakamura, Hikaru"
30,Financial Concept Open 6th,North Bay,1999-08-07,"Stroud, Mike","Nakamura, Hikaru",0-1,,2204.0,"Nakamura, Hikaru","Stroud, Mike"
31,Financial Concept Open 6th,North Bay,1999-08-08,"Glinert, Stephen","Nakamura, Hikaru",1/2-1/2,2191.0,2204.0,draw,draw
32,New York State-ch 121st,New York,1999-09-04,"Nakamura, Hikaru","Lawson, Brian",1/2-1/2,2204.0,2073.0,draw,draw
33,New York State-ch 121st,New York,1999-09-06,"Nakamura, Hikaru","Farrell, Gary",1-0,2204.0,,"Nakamura, Hikaru","Farrell, Gary"
34,New York State-ch 121st,New York,1999-09-06,"Spraggett, Grant","Nakamura, Hikaru",1-0,2334.0,2204.0,"Spraggett, Grant","Nakamura, Hikaru"
35,Manhattan CC-ch,New York,1999-09-25,"Nakamura, Hikaru","Waxman, Marian",1-0,2204.0,2080.0,"Nakamura, Hikaru","Waxman, Marian"
36,Manhattan CC-ch,New York,1999-09-25,"Schneider, Dmitry","Nakamura, Hikaru",0-1,2358.0,2204.0,"Nakamura, Hikaru","Schneider, Dmitry"
37,Manhattan CC-ch,New York,1999-09-26,"Privman, Boris","Nakamura, Hikaru",1/2-1/2,2192.0,2204.0,draw,draw
38,Wch U12,Oropesa del Mar,1999-10-24,"Nakamura, Hikaru","Laznicka, Viktor",1-0,2204.0,,"Nakamura, Hikaru","Laznicka, Viktor"
39,Wch U12,Oropesa del Mar,1999-10-25,"Mladenov, Plamen","Nakamura, Hikaru",0-1,,2204.0,"Nakamura, Hikaru","Mladenov, Plamen"
40,Wch U12,Oropesa del Mar,1999-10-26,"Nakamura, Hikaru","Tanrikulu, Secim Erhan",1-0,2204.0,,"Nakamura, Hikaru","Tanrikulu, Secim Erhan"
41,Wch U12,Oropesa del Mar,1999-10-27,"Nakamura, Hikaru","Tomashevski, Evgeni",1/2-1/2,2204.0,2292.0,draw,draw
42,Wch U12,Oropesa del Mar,1999-10-28,"Stellwagen, Daniel R","Nakamura, Hikaru",1/2-1/2,2254.0,2204.0,draw,draw
43,Wch U12,Oropesa del Mar,1999-10-29,"Nakamura, Hikaru","Takhirov, Farkhad",1-0,2204.0,,"Nakamura, Hikaru","Takhirov, Farkhad"
44,Wch U12,Oropesa del Mar,1999-10-31,"Khusnutdinov, Ruslan","Nakamura, Hikaru",1-0,2397.0,2204.0,"Khusnutdinov, Ruslan","Nakamura, Hikaru"
45,Wch U12,Oropesa del Mar,1999-11-01,"Rangarajan, S.","Nakamura, Hikaru",0-1,2086.0,2204.0,"Nakamura, Hikaru","Rangarajan, S."
46,Wch U12,Oropesa del Mar,1999-11-02,"Nakamura, Hikaru","Romanov, Evgeny",1-0,2204.0,2179.0,"Nakamura, Hikaru","Romanov, Evgeny"
47,Wch U12,Oropesa del Mar,1999-11-04,Wang Yue,"Nakamura, Hikaru",1-0,2344.0,2204.0,Wang Yue,"Nakamura, Hikaru"
48,Wch U12,Oropesa del Mar,1999-11-05,"Nakamura, Hikaru","Megaranta, Susanto",0-1,2204.0,,"Megaranta, Susanto","Nakamura, Hikaru"
49,Eastern Open,Washington DC USA,1999-12-27,"Nakamura,H","Adu,O",1-0,2204.0,2254.0,"Nakamura,H","Adu,O"
50,Eastern Open,Washington DC USA,1999-12-29,"Nakamura,H","Kaufman,La",1/2-1/2,2204.0,2427.0,draw,draw
51,Eastern Open,Washington DC USA,1999-12-29,"Friedel,J","Nakamura,H",0-1,,2204.0,"Nakamura,H","Friedel,J"
52,Kasparov Cadet GP,Internet,2000-01-11,"Nakamura,H","Efimenko,Z",1/2-1/2,2204.0,2332.0,draw,draw
53,Kasparov Cadet GP,Internet,2000-01-11,"Efimenko,Z","Nakamura,H",1-0,2332.0,2204.0,"Efimenko,Z","Nakamura,H"
54,New York Open,New York USA,2000-05-05,"Epishin,V","Nakamura,H",1/2-1/2,2667.0,2261.0,draw,draw
55,New York Open,New York USA,2000-05-08,"Nakamura,H","Marzolo,C",1/2-1/2,2261.0,2396.0,draw,draw
56,FSIMB June,Budapest HUN,2000-06-03,"Goldenberg,D","Nakamura,H",0-1,2244.0,2261.0,"Nakamura,H","Goldenberg,D"
57,FSIMB June,Budapest HUN,2000-06-04,"Nakamura,H","Vadasz,L",0-1,2261.0,2285.0,"Vadasz,L","Nakamura,H"
58,FSIMB June,Budapest HUN,2000-06-05,"Zivanic,M","Nakamura,H",1-0,2317.0,2261.0,"Zivanic,M","Nakamura,H"
59,FSIMB June,Budapest HUN,2000-06-06,"Nakamura,H","Resika,N",0-1,2261.0,2190.0,"Resika,N","Nakamura,H"
60,FSIMB June,Budapest HUN,2000-06-07,"Bognar,C","Nakamura,H",1/2-1/2,2246.0,2261.0,draw,draw
61,FSIMB June,Budapest HUN,2000-06-08,"Nakamura,H","Keatinge Clay,A",1/2-1/2,2261.0,2287.0,draw,draw
62,FSIMB June,Budapest HUN,2000-06-09,"Dudas,Jano","Nakamura,H",0-1,2321.0,2261.0,"Nakamura,H","Dudas,Jano"
63,FSIMB June,Budapest HUN,2000-06-10,"Kaposztas,M","Nakamura,H",1/2-1/2,2302.0,2261.0,draw,draw
64,FSIMB June,Budapest HUN,2000-06-11,"Nakamura,H","Daamen,F",1-0,2261.0,2155.0,"Nakamura,H","Daamen,F"
65,FSIMB June,Budapest HUN,2000-06-12,Yu Mingyuan,"Nakamura,H",1/2-1/2,2419.0,2261.0,draw,draw
66,FSIMB June,Budapest HUN,2000-06-13,"Nakamura,H","Eperjesi,L",1/2-1/2,2261.0,2365.0,draw,draw
67,World Open,Philadelphia USA,2000-07-02,"Nakamura,H","Zaichik,G",0-1,2261.0,2489.0,"Zaichik,G","Nakamura,H"
68,World Open,Philadelphia USA,2000-07-04,"Gaprindashvili,V","Nakamura,H",1-0,2446.0,2261.0,"Gaprindashvili,V","Nakamura,H"
69,World Open,Philadelphia USA,2000-07-28,"Levin,E","Nakamura,H",0-1,2177.0,2261.0,"Nakamura,H","Levin,E"
70,World Open,Philadelphia USA,2000-07-28,"Levin,E","Nakamura,H",0-1,2177.0,2261.0,"Nakamura,H","Levin,E"
71,World Open,Philadelphia USA,2000-07-29,"Nakamura,H","Kotronias,V",0-1,2261.0,2539.0,"Kotronias,V","Nakamura,H"
72,World Open,Philadelphia USA,2000-07-30,"Nakamura,H","DePalma,Angelo",1-0,2261.0,,"Nakamura,H","DePalma,Angelo"
73,World Open,Philadelphia USA,2000-07-30,"Nakamura,H","Mulyar,M",1-0,2261.0,2445.0,"Nakamura,H","Mulyar,M"
74,101st US Open,Saint Paul USA,2000-08-05,"Nakamura,H","Munson,Curtis",1-0,2281.0,,"Nakamura,H","Munson,Curtis"
75,101st US Open,Saint Paul USA,2000-08-07,"Nakamura,H","Hyatt,Doug",1-0,2281.0,,"Nakamura,H","Hyatt,Doug"
76,101st US Open,Saint Paul USA,2000-08-09,"Nakamura,H","Serper,G",1/2-1/2,2281.0,2574.0,draw,draw
77,101st US Open,Saint Paul USA,2000-08-10,"Nakamura,H","Adler,V",0-1,2281.0,2425.0,"Adler,V","Nakamura,H"
78,101st US Open,Saint Paul USA,2000-08-11,"Caranicas,Andy","Nakamura,H",0-1,,2281.0,"Nakamura,H","Caranicas,Andy"
79,New York State Ch,Saratoga Springs NY USA,2000-09-04,"Byrne,R","Nakamura,H",1/2-1/2,2439.0,2281.0,draw,draw
80,New York State Ch,Saratoga Springs NY USA,2000-09-04,"Nakamura,H","Schwartz,Y",1-0,2281.0,2291.0,"Nakamura,H","Schwartz,Y"
81,Anibal Open,Anibal Open ESP,2001-01-08,"Kobalija,M","Nakamura,H",1/2-1/2,2594.0,2281.0,draw,draw
82,Open,Ubeda ESP,2001-01-21,"Nakamura,H","Eljanov,P",0-1,2364.0,2556.0,"Eljanov,P","Nakamura,H"
83,Open,Ubeda ESP,2001-01-27,"Meijers,V","Nakamura,H",0-1,2483.0,2364.0,"Nakamura,H","Meijers,V"
84,Open,Ubeda ESP,2001-01-28,"Nakamura,H","Arencibia,W",1/2-1/2,2364.0,2534.0,draw,draw
85,Open,Ubeda ESP,2001-01-29,"Dominguez,L","Nakamura,H",1/2-1/2,2565.0,2364.0,draw,draw
86,Open,Ubeda ESP,2001-01-30,"Nakamura,H","Comas Fabrego,L",1/2-1/2,2364.0,2508.0,draw,draw
87,US-China Summit,Seattle USA,2001-03-15,Ni Hua,"Nakamura,H",1-0,2534.0,2364.0,Ni Hua,"Nakamura,H"
88,US-China Summit,Seattle USA,2001-03-18,Ni Hua,"Nakamura,H",1-0,2534.0,2364.0,Ni Hua,"Nakamura,H"
89,Open,Bled SLO,2001-03-24,"Grilc,A","Nakamura,H",0-1,2044.0,2364.0,"Nakamura,H","Grilc,A"
90,Open,Bled SLO,2001-03-25,"Nakamura,H","Laco,G",1-0,2364.0,2183.0,"Nakamura,H","Laco,G"
91,Open,Bled SLO,2001-03-26,"Kozul,Z","Nakamura,H",1-0,2594.0,2364.0,"Kozul,Z","Nakamura,H"
92,Open,Bled SLO,2001-03-27,"Nakamura,H","Hanko,P",1-0,2364.0,2234.0,"Nakamura,H","Hanko,P"
93,Open,Bled SLO,2001-03-28,"Nakamura,H","Jovan,R",1-0,2364.0,2125.0,"Nakamura,H","Jovan,R"
94,Open,Bled SLO,2001-03-29,"Sveshnikov,E","Nakamura,H",1-0,2561.0,2364.0,"Sveshnikov,E","Nakamura,H"
95,Open,Bled SLO,2001-03-30,"Nakamura,H","Dobrotka,M",0-1,2364.0,2183.0,"Dobrotka,M","Nakamura,H"
96,Open,Bled SLO,2001-03-31,"Gombac,Jan","Nakamura,H",0-1,2206.0,2364.0,"Nakamura,H","Gombac,Jan"
97,Open,Bled SLO,2001-04-01,"Nakamura,H","Sitnik,I",1-0,2364.0,2277.0,"Nakamura,H","Sitnik,I"
98,Mayor's Cup,New York USA,2001-06-18,"Nakamura,H","Yudasin,L",0-1,2428.0,2568.0,"Yudasin,L","Nakamura,H"
99,Mayor's Cup,New York USA,2001-06-19,"Nakamura,H","Gruenfeld,Y",1/2-1/2,2428.0,2520.0,draw,draw
100,Mayor's Cup,New York USA,2001-06-20,"Perelshteyn,E","Nakamura,H",1/2-1/2,2436.0,2428.0,draw,draw
101,Mayor's Cup,New York USA,2001-06-21,"Nakamura,H","Blatny,P",0-1,2428.0,2547.0,"Blatny,P","Nakamura,H"
102,Mayor's Cup,New York USA,2001-06-22,"Krush,I","Nakamura,H",1-0,2380.0,2428.0,"Krush,I","Nakamura,H"
103,Mayor's Cup,New York USA,2001-06-23,"Nakamura,H","Shahade,G",1/2-1/2,2428.0,2458.0,draw,draw
104,Mayor's Cup,New York USA,2001-06-24,"Simutowe,A","Nakamura,H",1-0,2470.0,2428.0,"Simutowe,A","Nakamura,H"
105,Mayor's Cup,New York USA,2001-06-25,"Nakamura,H","Novikov,I",0-1,2428.0,2596.0,"Novikov,I","Nakamura,H"
106,Mayor's Cup,New York USA,2001-06-26,"Schneider,D","Nakamura,H",1/2-1/2,2406.0,2428.0,draw,draw
107,29th World Open,Philadelphia USA,2001-07-04,"Nakamura,H","Wall,Brian",1/2-1/2,2428.0,,draw,draw
108,29th World Open,Philadelphia USA,2001-07-05,"Nakamura,H","Patterson,Ro",1-0,2428.0,,"Nakamura,H","Patterson,Ro"
109,29th World Open,Philadelphia USA,2001-07-06,"Ehlvest,J","Nakamura,H",1-0,2630.0,2428.0,"Ehlvest,J","Nakamura,H"
111,29th World Open,Philadelphia USA,2001-07-07,"Filatov,L","Nakamura,H",0-1,2307.0,2428.0,"Nakamura,H","Filatov,L"
112,29th World Open,Philadelphia USA,2001-07-08,"Lesiege,A","Nakamura,H",1-0,2564.0,2428.0,"Lesiege,A","Nakamura,H"
113,29th World Open,Philadelphia USA,2001-07-08,"Nakamura,H","Alvarado,N",0-1,2428.0,,"Alvarado,N","Nakamura,H"
114,US Open,Framingham USA,2001-08-04,"Nakamura,H","Loyte,John W",1-0,2452.0,,"Nakamura,H","Loyte,John W"
115,US Open,Framingham USA,2001-08-05,"Warren,James","Nakamura,H",0-1,,2452.0,"Nakamura,H","Warren,James"
116,US Open,Framingham USA,2001-08-06,"Nakamura,H","Buehl,Walter",1-0,2452.0,,"Nakamura,H","Buehl,Walter"
117,US Open,Framingham USA,2001-08-07,"Blatny,P","Nakamura,H",1/2-1/2,2478.0,2452.0,draw,draw
118,US Open,Framingham USA,2001-08-08,"Nakamura,H","Doettling,F",1/2-1/2,2452.0,2518.0,draw,draw
119,US Open,Framingham USA,2001-08-09,"Epstein,E","Nakamura,H",1/2-1/2,2185.0,2452.0,draw,draw
120,US Open,Framingham USA,2001-08-11,"Atalik,S","Nakamura,H",1-0,2532.0,2452.0,"Atalik,S","Nakamura,H"
121,US Open,Framingham USA,2001-08-12,"Nakamura,H","Friedel,J",1-0,2452.0,2221.0,"Nakamura,H","Friedel,J"
122,Smartchess.com It,New York USA,2001-10-07,"Nakamura,H","Novikov,I",1/2-1/2,2452.0,2593.0,draw,draw
123,Smartchess.com It,New York USA,2001-10-08,"Nakamura,H","Cela,A",1-0,2466.0,2483.0,"Nakamura,H","Cela,A"
124,Smartchess.com It,New York USA,2001-10-09,"Gonzales,Jay","Nakamura,H",0-1,2432.0,2466.0,"Nakamura,H","Gonzales,Jay"
125,Smartchess.com It,New York USA,2001-10-10,"Nakamura,H","Zugic,I",1/2-1/2,2466.0,2435.0,draw,draw
126,Smartchess.com It,New York USA,2001-10-11,"Krush,I","Nakamura,H",0-1,2411.0,2466.0,"Nakamura,H","Krush,I"
127,Smartchess.com It,New York USA,2001-10-12,"Nakamura,H","Wojtkiewicz,A",1/2-1/2,2466.0,2573.0,draw,draw
128,Smartchess.com It,New York USA,2001-10-13,"Shahade,G","Nakamura,H",1/2-1/2,2459.0,2466.0,draw,draw
129,Smartchess.com It,New York USA,2001-10-14,"Nakamura,H","Perelshteyn,E",0-1,2466.0,2432.0,"Perelshteyn,E","Nakamura,H"
130,Smartchess.com It,New York USA,2001-10-15,"Blatny,P","Nakamura,H",1-0,2458.0,2466.0,"Blatny,P","Nakamura,H"
131,WYB14,Oropesa del Mar ESP,2001-10-21,"Hamel,O","Nakamura,H",0-1,2035.0,2466.0,"Nakamura,H","Hamel,O"
132,WYB14,Oropesa del Mar ESP,2001-10-22,"Nakamura,H","Zilka,S",1-0,2466.0,2186.0,"Nakamura,H","Zilka,S"
133,WYB14,Oropesa del Mar ESP,2001-10-23,"Zhigalko,S","Nakamura,H",0-1,2203.0,2466.0,"Nakamura,H","Zhigalko,S"
134,WYB14,Oropesa del Mar ESP,2001-10-24,"Nakamura,H","Wojtaszek,R",1/2-1/2,2466.0,2285.0,draw,draw
135,WYB14,Oropesa del Mar ESP,2001-10-25,"Erdos,V","Nakamura,H",1-0,2320.0,2466.0,"Erdos,V","Nakamura,H"
136,WYB14,Oropesa del Mar ESP,2001-10-26,"Nakamura,H","Adly,A",1-0,2466.0,2214.0,"Nakamura,H","Adly,A"
137,WYB14,Oropesa del Mar ESP,2001-10-28,"Sengupta,D","Nakamura,H",0-1,2287.0,2466.0,"Nakamura,H","Sengupta,D"
138,WYB14,Oropesa del Mar ESP,2001-10-29,"Nakamura,H","Gonda,L",1/2-1/2,2466.0,2309.0,draw,draw
139,WYB14,Oropesa del Mar ESP,2001-10-30,"Bluvshtein,M","Nakamura,H",0-1,2357.0,2466.0,"Nakamura,H","Bluvshtein,M"
140,WYB14,Oropesa del Mar ESP,2001-11-01,"Nakamura,H","Predojevic,B",1-0,2466.0,2352.0,"Nakamura,H","Predojevic,B"
141,WYB14,Oropesa del Mar ESP,2001-11-02,"Megararanto,S","Nakamura,H",1/2-1/2,2234.0,2466.0,draw,draw
142,GMA,Bermuda BER,2002-01-21,"Nakamura,H","Lesiege,A",1-0,2430.0,2572.0,"Nakamura,H","Lesiege,A"
143,GMA,Bermuda BER,2002-01-22,"Nakamura,H","Vescovi,G",1-0,2430.0,2590.0,"Nakamura,H","Vescovi,G"
144,GMA,Bermuda BER,2002-01-23,"Socko,B","Nakamura,H",0-1,2585.0,2430.0,"Nakamura,H","Socko,B"
145,GMA,Bermuda BER,2002-01-24,"Nakamura,H","Handke,F",0-1,2430.0,2450.0,"Handke,F","Nakamura,H"
146,GMA,Bermuda BER,2002-01-25,"Vuckovic,Bo","Nakamura,H",0-1,2455.0,2430.0,"Nakamura,H","Vuckovic,Bo"
147,GMA,Bermuda BER,2002-01-27,"Nakamura,H","Krush,I",1-0,2430.0,2424.0,"Nakamura,H","Krush,I"
148,GMA,Bermuda BER,2002-01-28,"Johannessen,LE","Nakamura,H",1-0,2427.0,2430.0,"Johannessen,LE","Nakamura,H"
149,GMA,Bermuda BER,2002-01-29,"Nakamura,H","Ernst,S",1/2-1/2,2430.0,2459.0,draw,draw
150,GMA,Bermuda BER,2002-01-30,"Macieja,B","Nakamura,H",1/2-1/2,2612.0,2430.0,draw,draw
151,Open,Bermuda BER,2002-02-01,"Richardson,Mark","Nakamura,H",0-1,,2430.0,"Nakamura,H","Richardson,Mark"
152,Open,Bermuda BER,2002-02-02,"Nakamura,H","Fernandez,Joh",1-0,2430.0,2079.0,"Nakamura,H","Fernandez,Joh"
153,Open,Bermuda BER,2002-02-02,"Ernst,S","Nakamura,H",1/2-1/2,2459.0,2430.0,draw,draw
154,Open,Bermuda BER,2002-02-03,"Nakamura,H","Shahade,M",1-0,2430.0,2283.0,"Nakamura,H","Shahade,M"
155,Open,Bermuda BER,2002-02-03,"Berg,E","Nakamura,H",1-0,2500.0,2430.0,"Berg,E","Nakamura,H"
156,US Amateur Team East,Parsipanny USA,2002-02-17,"Dolgitser,K","Nakamura,H",0-1,2262.0,2430.0,"Nakamura,H","Dolgitser,K"
157,Anibal Open,Linares ESP,2002-03-03,"Nakamura,H","Romanishin,O",1/2-1/2,2430.0,2576.0,draw,draw
158,Anibal Open,Linares ESP,2002-03-04,"Arencibia,W","Nakamura,H",0-1,2542.0,2430.0,"Nakamura,H","Arencibia,W"
159,Anibal Open,Linares ESP,2002-03-05,"Nakamura,H","Halkias,S",1/2-1/2,2430.0,2546.0,draw,draw
160,Anibal Open,Linares ESP,2002-03-06,"Bruzon,L","Nakamura,H",1-0,2569.0,2430.0,"Bruzon,L","Nakamura,H"
161,Anibal Open,Linares ESP,2002-03-07,"Nakamura,H","Arizmendi Martinez,J",0-1,2430.0,2497.0,"Arizmendi Martinez,J","Nakamura,H"
162,Anibal Open,Linares ESP,2002-03-09,"Nakamura,H","Nielsen,PH",1/2-1/2,2430.0,2642.0,draw,draw
163,Anibal Open,Linares ESP,2002-03-10,"Kallio,H","Nakamura,H",1/2-1/2,2522.0,2430.0,draw,draw
164,Dos Hermanas Internet Final,ICC INT,2002-03-22,"Nakamura,H","Dzindzichashvili,R",0-1,2430.0,2542.0,"Dzindzichashvili,R","Nakamura,H"
165,Dos Hermanas Internet Final,ICC INT,2002-03-22,"Dzindzichashvili,R","Nakamura,H",1-0,2542.0,2430.0,"Dzindzichashvili,R","Nakamura,H"
166,FSGMA April,Budapest HUN,2002-04-02,"Vajda,L","Nakamura,H",1-0,2539.0,2466.0,"Vajda,L","Nakamura,H"
167,FSGMA April,Budapest HUN,2002-04-03,"Nakamura,H","Bokros,A",1-0,2466.0,2435.0,"Nakamura,H","Bokros,A"
168,FSGMA April,Budapest HUN,2002-04-04,"Fogarasi,T","Nakamura,H",0-1,2445.0,2466.0,"Nakamura,H","Fogarasi,T"
169,FSGMA April,Budapest HUN,2002-04-05,"Nakamura,H",Hoang Thanh Trang,1-0,2466.0,2426.0,"Nakamura,H",Hoang Thanh Trang
170,FSGMA April,Budapest HUN,2002-04-06,"Gonda,L","Nakamura,H",0-1,2359.0,2466.0,"Nakamura,H","Gonda,L"
171,FSGMA April,Budapest HUN,2002-04-07,"Horvath,Ad","Nakamura,H",0-1,2464.0,2466.0,"Nakamura,H","Horvath,Ad"
172,FSGMA April,Budapest HUN,2002-04-08,"Nakamura,H","Kallio,H",0-1,2466.0,2502.0,"Kallio,H","Nakamura,H"
173,FSGMA April,Budapest HUN,2002-04-09,"Markus,R","Nakamura,H",0-1,2477.0,2466.0,"Nakamura,H","Markus,R"
174,FSGMA April,Budapest HUN,2002-04-10,"Nakamura,H","Flumbort,A",1/2-1/2,2430.0,2436.0,draw,draw
175,FSGMA April,Budapest HUN,2002-04-11,"Horvath,Cs","Nakamura,H",1-0,2542.0,2430.0,"Horvath,Cs","Nakamura,H"
176,FSGMA April,Budapest HUN,2002-04-12,"Nakamura,H","Antal,Ge",0-1,2430.0,2426.0,"Antal,Ge","Nakamura,H"
177,FSGMA April,Budapest HUN,2002-04-13,"Czebe,A","Nakamura,H",0-1,2489.0,2430.0,"Nakamura,H","Czebe,A"
178,FSGMA April,Budapest HUN,2002-04-14,"Nakamura,H","Rajlich,V",1-0,2430.0,2384.0,"Nakamura,H","Rajlich,V"
179,11th Open,Chicago USA,2002-05-24,"Nakamura,H","Tsiganov,I1",1-0,2466.0,2250.0,"Nakamura,H","Tsiganov,I1"
180,Panam U20,La Paz BOL,2002-06-05,"Nakamura,H","Cabrejos Tovar,J",1-0,2466.0,2228.0,"Nakamura,H","Cabrejos Tovar,J"
181,Panam U20,La Paz BOL,2002-06-06,"Bustamante Montoni,R","Nakamura,H",0-1,2203.0,2466.0,"Nakamura,H","Bustamante Montoni,R"
182,Panam U20,La Paz BOL,2002-06-07,"Nakamura,H","Castellanos,R",1-0,2466.0,2367.0,"Nakamura,H","Castellanos,R"
183,Panam U20,La Paz BOL,2002-06-08,"Mieles Palau,D","Nakamura,H",1/2-1/2,2407.0,2466.0,draw,draw
184,Panam U20,La Paz BOL,2002-06-10,"Nakamura,H","Pacheco,M",1/2-1/2,2466.0,2240.0,draw,draw
185,Panam U20,La Paz BOL,2002-06-11,"Prasca,R","Nakamura,H",1-0,2352.0,2466.0,"Prasca,R","Nakamura,H"
186,Panam U20,La Paz BOL,2002-06-12,"Nakamura,H","Andrade,U",1-0,2466.0,,"Nakamura,H","Andrade,U"
187,Panam U20,La Paz BOL,2002-06-13,"Ramirez,Al","Nakamura,H",0-1,2288.0,2466.0,"Nakamura,H","Ramirez,Al"
188,Panam U20,La Paz BOL,2002-06-14,"Nakamura,H","Mafra,K",1-0,2466.0,2071.0,"Nakamura,H","Mafra,K"
189,30th World Open,Philadelphia USA,2002-07-05,"Benen,S","Nakamura,H",0-1,2235.0,2466.0,"Nakamura,H","Benen,S"
190,30th World Open,Philadelphia USA,2002-07-06,"Nakamura,H","Gonzales,Jay",0-1,2466.0,2419.0,"Gonzales,Jay","Nakamura,H"
191,2nd China-USA Summit,Shanghai CHN,2002-07-14,"Nakamura,H",Zhao Jun,1-0,2494.0,2363.0,"Nakamura,H",Zhao Jun
192,2nd China-USA Summit,Shanghai CHN,2002-07-15,"Nakamura,H",Wang Yue,1/2-1/2,2494.0,2455.0,draw,draw
193,Imre Konig Mem,San Francisco USA,2002-09-04,"Nakamura,H","Wojtkiewicz,A",0-1,2494.0,2555.0,"Wojtkiewicz,A","Nakamura,H"
