Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
7.0,275.0,3.0,17.3,3.0,2.7,8,9.0,2.0,5.0,2.63,1280.0
4.0,171.0,0.0,11.6,0.0,1.0,4,3.0,1.0,5.0,1.39,603.0
10.0,402.0,3.0,17.3,3.0,2.0,4,25.0,1.0,4.0,2.8,529.0
7.0,275.0,3.0,17.3,3.0,1.6,8,15.0,1.0,5.0,2.5,928.0
2.0,409.0,3.0,15.6,0.0,2.4,4,9.0,1.0,5.0,2.0,435.0
7.0,280.0,3.0,14.0,3.0,1.6,8,9.0,1.0,5.0,1.63,812.0
0.0,321.0,3.0,14.0,3.0,2.4,8,3.0,1.0,5.0,1.5,619.0
7.0,34.0,3.0,15.6,3.0,2.5,8,15.0,1.0,4.0,1.86,575.0
7.0,2.0,3.0,15.6,0.0,1.6,8,21.0,1.0,5.0,2.04,389.0
4.0,205.0,3.0,15.6,0.0,2.5,8,3.0,1.0,5.0,1.95,810.0
11.0,135.0,1.0,15.6,3.0,2.8,16,17.0,2.0,5.0,2.94,2267.86
4.0,441.0,3.0,15.6,3.0,2.8,8,15.0,2.0,5.0,2.0,1829.0
7.0,79.0,4.0,14.0,3.0,2.5,8,15.0,1.0,5.0,1.43,1500.0
16.0,307.0,3.0,15.6,3.0,2.5,8,15.0,1.0,5.0,2.0,943.0
11.0,119.0,1.0,15.6,3.0,2.8,8,4.0,2.0,5.0,2.2,1149.0
10.0,358.0,0.0,13.3,3.0,2.7,8,15.0,1.0,5.0,1.37,1950.0
10.0,147.0,3.0,15.6,3.0,3.6,12,21.0,0.0,5.0,2.2,899.0
4.0,205.0,3.0,15.6,0.0,2.3,4,25.0,1.0,5.0,1.95,729.9
4.0,440.0,0.0,13.3,12.0,1.3,16,27.0,1.0,5.0,1.22,1899.0
16.0,307.0,3.0,15.6,0.0,2.5,8,3.0,1.0,5.0,2.0,793.0
7.0,456.0,3.0,15.6,3.0,2.5,8,25.0,0.0,5.0,1.9,1154.0
7.0,281.0,3.0,15.6,3.0,2.7,8,4.0,2.0,5.0,2.04,979.0
4.0,38.0,1.0,17.3,3.0,2.8,16,17.0,2.0,5.0,4.42,2699.0
7.0,245.0,3.0,15.6,3.0,2.8,12,4.0,2.0,5.0,2.21,1327.0
7.0,92.0,3.0,13.3,3.0,2.5,4,15.0,1.0,5.0,1.32,699.0
10.0,454.0,0.0,10.1,4.0,1.44,4,32.0,1.0,5.0,0.69,479.0
2.0,381.0,3.0,14.0,3.0,1.6,8,15.0,1.0,5.0,1.4,941.0
0.0,42.0,3.0,15.6,3.0,2.8,8,15.0,2.0,2.0,2.5,879.0
7.0,81.0,4.0,14.0,3.0,2.5,8,27.0,1.0,5.0,1.54,1468.0
7.0,459.0,5.0,15.6,3.0,2.8,8,15.0,2.0,5.0,2.6,1738.27
5.0,222.0,3.0,15.6,0.0,2.5,8,9.0,1.0,5.0,2.2,739.0
15.0,233.0,4.0,15.0,3.0,2.7,16,15.0,2.0,5.0,1.23,1849.0
10.0,151.0,3.0,15.6,3.0,2.5,8,15.0,2.0,4.0,2.2,629.0
2.0,295.0,1.0,15.6,3.0,2.8,16,4.0,2.0,5.0,2.1,1899.0
10.0,339.0,3.0,13.3,0.0,1.6,4,6.0,1.0,1.0,1.45,459.9
0.0,44.0,3.0,15.6,0.0,2.0,4,9.0,1.0,2.0,2.1,390.0
10.0,386.0,3.0,15.6,0.0,2.5,4,3.0,1.0,5.0,1.9,498.0
4.0,173.0,3.0,15.6,3.0,2.7,8,9.0,0.0,2.0,2.2,599.9
7.0,20.0,3.0,15.6,3.0,2.5,4,9.0,0.0,5.0,2.1,398.0
4.0,208.0,3.0,15.6,0.0,2.6,8,25.0,1.0,5.0,1.9,1008.52
2.0,290.0,1.0,15.6,3.0,2.8,8,4.0,2.0,5.0,2.3,1655.0
10.0,169.0,3.0,15.6,3.0,2.3,4,9.0,2.0,5.0,2.3,977.0
7.0,87.0,3.0,14.0,3.0,2.7,8,15.0,1.0,5.0,1.48,1292.0
0.0,379.0,3.0,15.6,0.0,2.5,4,25.0,1.0,5.0,2.23,619.0
11.0,114.0,1.0,17.3,3.0,2.8,16,17.0,2.0,5.0,2.8,1890.0
0.0,49.0,3.0,14.0,0.0,2.0,8,9.0,1.0,5.0,2.1,389.0
10.0,356.0,4.0,14.0,3.0,2.7,16,27.0,1.0,5.0,1.14,2450.0
4.0,178.0,3.0,15.6,3.0,2.7,16,9.0,0.0,5.0,2.3,859.01
7.0,86.0,2.0,12.5,3.0,2.7,8,27.0,1.0,5.0,1.26,1483.0
4.0,38.0,1.0,17.3,13.0,2.8,32,12.0,2.0,5.0,4.36,3659.4
0.0,59.0,0.0,13.3,3.0,2.5,8,15.0,1.0,5.0,1.6,789.01
7.0,281.0,3.0,15.6,3.0,2.5,8,9.0,1.0,5.0,2.04,806.0
0.0,56.0,3.0,15.6,0.0,2.5,4,25.0,1.0,2.0,2.4,441.8
10.0,156.0,3.0,15.6,3.0,2.7,8,9.0,2.0,4.0,2.2,709.0
7.0,81.0,4.0,14.0,3.0,2.7,4,15.0,1.0,5.0,1.48,1082.0
10.0,217.0,1.0,15.6,3.0,2.8,16,15.0,2.0,5.0,2.5,1079.0
0.0,306.0,0.0,14.0,3.0,1.3,8,15.0,1.0,5.0,1.2,1149.0
0.0,47.0,3.0,15.6,3.0,1.8,8,15.0,2.0,5.0,3.0,951.0
10.0,346.0,0.0,14.0,3.0,2.6,8,27.0,2.0,7.0,1.8,2050.38
11.0,116.0,1.0,15.6,3.0,2.6,8,4.0,2.0,5.0,2.3,1169.0
10.0,356.0,3.0,14.0,9.0,2.6,16,15.0,1.0,7.0,1.1,2620.0
4.0,211.0,4.0,14.0,3.0,2.8,8,27.0,1.0,5.0,1.36,1680.0
10.0,152.0,3.0,15.6,0.0,2.0,8,3.0,1.0,5.0,2.2,589.0
0.0,59.0,0.0,13.3,3.0,2.3,8,15.0,1.0,5.0,1.6,689.0
0.0,52.0,3.0,17.3,2.0,2.0,8,9.0,2.0,5.0,3.3,629.0
16.0,260.0,4.0,13.3,3.0,2.3,8,15.0,1.0,5.0,1.2,1590.0
2.0,96.0,1.0,15.6,3.0,2.6,8,9.0,2.0,5.0,2.2,1169.0
2.0,432.0,3.0,15.6,3.0,2.4,8,9.0,2.0,2.0,2.3,597.0
7.0,314.0,0.0,13.3,9.0,2.6,8,27.0,1.0,5.0,1.48,2041.0
10.0,156.0,3.0,15.6,3.0,2.7,6,15.0,2.0,5.0,2.2,789.0
16.0,252.0,3.0,13.3,3.0,2.5,8,15.0,1.0,5.0,1.05,1475.0
2.0,305.0,1.0,17.3,3.0,3.2,8,17.0,0.0,5.0,3.2,1695.0
0.0,267.0,1.0,17.3,3.0,2.8,16,17.0,2.0,5.0,4.2,2299.0
7.0,280.0,3.0,14.0,0.0,1.6,4,25.0,1.0,5.0,1.63,722.0
0.0,321.0,4.0,14.0,3.0,1.6,8,15.0,1.0,5.0,1.6,770.0
12.0,308.0,3.0,13.3,3.0,1.44,4,22.0,1.0,5.0,1.35,255.0
16.0,330.0,3.0,15.6,3.0,2.7,8,15.0,1.0,5.0,2.0,1388.0
0.0,40.0,3.0,15.6,0.0,2.0,4,9.0,1.0,2.0,2.1,272.0
4.0,191.0,0.0,15.6,3.0,2.7,12,27.0,1.0,5.0,2.19,1299.0
4.0,174.0,3.0,15.6,3.0,1.8,8,15.0,0.0,5.0,2.13,767.8
7.0,18.0,3.0,15.6,3.0,2.5,6,3.0,0.0,5.0,1.91,568.9
7.0,34.0,3.0,15.6,3.0,2.5,8,15.0,1.0,5.0,1.96,598.99
14.0,63.0,1.0,14.0,3.0,2.8,16,11.0,2.0,5.0,1.95,3499.0
10.0,345.0,3.0,15.6,3.0,2.5,8,15.0,1.0,5.0,2.3,911.0
0.0,316.0,3.0,15.6,3.0,2.4,6,9.0,1.0,5.0,2.1,479.0
7.0,274.0,3.0,15.6,3.0,2.7,8,9.0,2.0,5.0,2.04,900.0
2.0,270.0,3.0,15.6,0.0,2.4,4,9.0,1.0,5.0,2.37,398.99
2.0,294.0,1.0,17.3,3.0,2.6,16,4.0,2.0,5.0,4.0,1900.0
4.0,416.0,3.0,15.6,0.0,2.5,8,3.0,1.0,5.0,2.18,713.99
7.0,82.0,4.0,15.6,3.0,2.5,8,15.0,0.0,5.0,1.84,1296.99
10.0,406.0,3.0,15.6,3.0,2.5,8,15.0,1.0,4.0,2.3,573.0
2.0,78.0,3.0,14.0,0.0,1.5,2,22.0,0.0,5.0,1.65,199.0
4.0,203.0,3.0,14.0,0.0,2.3,4,25.0,1.0,5.0,1.76,755.0
7.0,318.0,2.0,11.6,0.0,1.6,2,22.0,1.0,5.0,1.17,209.0
2.0,197.0,3.0,15.6,0.0,1.1,4,3.0,1.0,5.0,1.86,419.0
4.0,38.0,1.0,17.3,3.0,2.8,32,29.0,2.0,5.0,4.42,3072.89
2.0,298.0,1.0,15.6,3.0,2.8,16,17.0,2.0,5.0,2.5,1799.0
4.0,183.0,0.0,15.6,3.0,1.6,8,15.0,1.0,5.0,2.67,799.0
2.0,437.0,3.0,17.3,3.0,2.0,4,9.0,2.0,5.0,2.0,564.0
11.0,128.0,1.0,14.0,3.0,2.8,16,17.0,2.0,5.0,1.6,1891.0
10.0,154.0,3.0,17.3,2.0,1.6,8,15.0,2.0,4.0,2.8,698.0
9.0,140.0,4.0,15.6,3.0,1.8,8,27.0,1.0,5.0,1.09,2299.0
7.0,455.0,5.0,15.6,3.0,2.6,8,15.0,2.0,7.0,2.59,2229.0
4.0,216.0,4.0,14.0,9.0,2.6,8,15.0,1.0,5.0,1.5,1962.98
2.0,77.0,3.0,14.0,0.0,1.5,4,34.0,0.0,6.0,1.65,277.99
10.0,450.0,0.0,13.3,12.0,2.5,16,27.0,1.0,5.0,1.3,1499.0
2.0,293.0,1.0,17.3,3.0,2.6,24,17.0,2.0,5.0,4.33,1269.0
0.0,40.0,3.0,15.6,0.0,3.0,4,25.0,0.0,5.0,2.1,400.0
11.0,125.0,1.0,17.3,3.0,2.8,8,4.0,2.0,5.0,2.7,1409.0
10.0,342.0,3.0,15.6,3.0,2.5,8,9.0,1.0,5.0,2.3,850.66
10.0,353.0,3.0,14.0,3.0,2.6,8,15.0,1.0,5.0,1.32,1650.0
4.0,440.0,0.0,13.3,3.0,1.3,16,15.0,1.0,5.0,1.22,1649.0
2.0,429.0,3.0,15.6,0.0,1.1,4,25.0,1.0,5.0,2.0,304.0
0.0,41.0,3.0,15.6,0.0,1.6,12,9.0,2.0,5.0,2.2,693.99
7.0,276.0,3.0,14.0,0.0,2.5,4,25.0,1.0,5.0,1.95,1060.0
4.0,416.0,3.0,15.6,3.0,2.5,8,15.0,0.0,5.0,2.18,789.81
4.0,416.0,3.0,15.6,0.0,2.0,4,9.0,0.0,2.0,2.18,465.0
10.0,217.0,1.0,15.6,3.0,2.5,8,4.0,2.0,4.0,2.4,809.0
7.0,241.0,3.0,15.6,3.0,2.9,6,1.0,0.0,5.0,2.04,549.99
4.0,203.0,3.0,14.0,0.0,2.0,4,25.0,1.0,5.0,1.76,585.0
0.0,39.0,3.0,14.0,3.0,1.1,4,22.0,1.0,5.0,1.6,329.0
7.0,91.0,4.0,13.3,12.0,2.7,8,15.0,1.0,5.0,1.39,1149.0
2.0,428.0,3.0,15.6,0.0,1.1,8,9.0,1.0,5.0,2.0,399.0
10.0,356.0,4.0,14.0,9.0,2.5,8,27.0,1.0,5.0,1.17,1686.64
4.0,207.0,3.0,14.0,3.0,2.8,8,15.0,2.0,2.0,1.64,1089.0
4.0,416.0,3.0,15.6,0.0,2.0,8,15.0,1.0,5.0,2.0,665.0
1.0,223.0,4.0,12.0,7.0,1.3,8,27.0,1.0,8.0,0.92,1510.0
0.0,41.0,3.0,17.3,3.0,2.7,4,9.0,2.0,5.0,3.0,655.0
10.0,350.0,4.0,14.0,3.0,2.6,12,27.0,1.0,7.0,1.4,2299.0
1.0,226.0,4.0,13.3,1.0,1.8,8,2.0,1.0,8.0,1.34,898.94
0.0,44.0,3.0,15.6,0.0,2.0,4,3.0,1.0,5.0,2.1,449.0
7.0,27.0,3.0,17.3,2.0,2.0,8,9.0,1.0,5.0,2.65,544.15
4.0,188.0,1.0,15.6,3.0,2.8,16,4.0,2.0,5.0,2.6,1349.0
10.0,163.0,1.0,17.3,3.0,2.7,16,16.0,2.0,5.0,4.6,2749.99
0.0,40.0,3.0,15.6,0.0,2.0,4,3.0,1.0,2.0,2.1,412.0
0.0,323.0,3.0,14.0,0.0,1.6,4,2.0,1.0,5.0,1.6,349.0
7.0,315.0,0.0,13.3,3.0,1.6,8,15.0,1.0,5.0,1.26,1398.99
0.0,67.0,3.0,14.0,0.0,1.6,2,22.0,1.0,1.0,1.68,330.0
4.0,173.0,3.0,15.6,3.0,2.5,4,15.0,0.0,2.0,2.3,598.9
4.0,216.0,3.0,14.0,3.0,2.4,8,15.0,1.0,5.0,1.56,1229.0
2.0,74.0,0.0,12.5,3.0,0.9,4,32.0,1.0,1.0,1.2,669.0
10.0,356.0,4.0,14.0,3.0,2.7,8,14.0,1.0,5.0,1.13,2049.0
10.0,363.0,3.0,15.6,13.0,2.7,16,27.0,2.0,7.0,2.5,2370.0
4.0,179.0,0.0,15.6,3.0,2.3,4,9.0,1.0,5.0,2.08,795.99
4.0,185.0,3.0,17.3,3.0,1.6,8,4.0,0.0,5.0,2.8,1085.0
4.0,214.0,3.0,15.6,3.0,2.4,8,25.0,1.0,5.0,2.09,1046.44
11.0,200.0,1.0,17.3,3.0,2.7,16,4.0,2.0,5.0,4.14,2199.0
2.0,434.0,3.0,15.6,0.0,1.6,4,25.0,1.0,5.0,2.2,369.0
4.0,174.0,3.0,15.6,3.0,1.6,8,9.0,0.0,5.0,2.2,675.0
11.0,133.0,1.0,17.3,13.0,2.6,16,30.0,2.0,5.0,2.43,2649.0
12.0,311.0,3.0,14.0,3.0,1.1,4,24.0,1.0,5.0,1.45,389.0
1.0,225.0,4.0,13.3,10.0,3.1,8,27.0,1.0,8.0,1.37,2040.0
10.0,341.0,4.0,14.0,3.0,1.8,8,15.0,0.0,5.0,1.75,1215.38
10.0,376.0,0.0,13.3,3.0,2.7,8,15.0,1.0,5.0,1.37,1757.42
10.0,345.0,3.0,15.6,0.0,2.5,4,25.0,1.0,5.0,2.38,1055.0
4.0,208.0,3.0,15.6,3.0,2.8,8,15.0,2.0,5.0,1.93,1369.0
10.0,444.0,0.0,15.6,3.0,2.3,4,15.0,1.0,5.0,2.1,867.0
10.0,217.0,1.0,15.6,3.0,2.8,16,19.0,2.0,5.0,2.4,1129.0
4.0,210.0,4.0,12.5,3.0,2.8,8,15.0,1.0,5.0,1.6,1690.0
10.0,150.0,3.0,15.6,3.0,2.5,8,4.0,2.0,5.0,2.3,819.0
2.0,463.0,4.0,13.3,3.0,0.9,8,27.0,1.0,5.0,1.2,729.0
7.0,34.0,3.0,15.6,0.0,2.5,4,9.0,1.0,5.0,1.86,488.69
7.0,34.0,3.0,15.6,3.0,2.0,4,9.0,1.0,5.0,1.86,469.0
11.0,138.0,1.0,17.3,3.0,2.9,16,29.0,2.0,5.0,4.14,2729.0
10.0,368.0,3.0,14.0,3.0,2.3,8,15.0,1.0,5.0,1.8,1191.0
13.0,320.0,4.0,13.5,6.0,2.8,8,15.0,1.0,6.0,1.25,1867.85
1.0,223.0,4.0,12.0,7.0,1.2,8,26.0,1.0,3.0,0.92,1165.0
10.0,396.0,3.0,15.6,0.0,2.5,4,9.0,1.0,4.0,1.9,489.9
4.0,182.0,0.0,15.0,3.0,2.4,4,25.0,1.0,5.0,2.08,509.0
7.0,81.0,4.0,14.0,9.0,2.5,8,15.0,1.0,7.0,1.54,2198.19
10.0,352.0,4.0,14.0,3.0,2.8,8,15.0,2.0,5.0,1.96,1903.0
2.0,285.0,0.0,13.3,3.0,2.5,6,9.0,1.0,5.0,1.5,639.01
7.0,314.0,3.0,13.3,3.0,2.3,8,15.0,1.0,5.0,1.16,1690.0
0.0,53.0,3.0,15.6,0.0,2.2,4,25.0,0.0,5.0,2.4,387.0
